street_id,line_id,voltage,current_in,current_out,leakage_current,load_kw,power_factor,temperature_c,humidity,time_slot,fault
151,38,228.88,6.73,5.65,1.08,1.29,1.0,52.14,38.7,2025-01-01 00:00:00,LEAKAGE_WARNING
192,38,221.63,10.72,10.64,0.08,2.36,0.86,49.01,52.96,2025-01-01 00:05:00,NORMAL
114,29,233.48,12.1,12.16,0.06,2.84,0.72,49.42,88.93,2025-01-01 00:10:00,NORMAL
171,41,240.5,7.35,6.67,0.68,1.6,0.93,62.29,62.63,2025-01-01 00:15:00,NORMAL
160,36,223.58,10.7,11.36,0.66,2.54,0.96,59.22,72.09,2025-01-01 00:20:00,NORMAL
120,26,213.18,7.91,7.77,0.14,1.66,0.98,69.38,69.8,2025-01-01 00:25:00,NORMAL
182,31,226.97,12.34,12.17,0.17,2.76,0.89,50.08,42.7,2025-01-01 00:30:00,NORMAL
186,44,237.56,6.8,6.34,0.46,1.51,0.85,58.71,80.77,2025-01-01 00:35:00,NORMAL
174,12,225.79,8.22,8.32,0.1,1.88,0.89,42.14,37.32,2025-01-01 00:40:00,NORMAL
174,17,215.02,10.26,10.15,0.11,2.18,0.7,47.88,85.3,2025-01-01 00:45:00,NORMAL
187,15,237.63,11.42,11.17,0.25,2.65,0.9,53.72,42.96,2025-01-01 00:50:00,NORMAL
199,9,244.15,10.19,10.12,0.07,2.47,0.91,37.59,87.28,2025-01-01 00:55:00,NORMAL
123,39,230.2,10.99,10.88,0.11,2.5,0.92,45.93,77.88,2025-01-01 01:00:00,NORMAL
102,42,213.94,8.9,8.28,0.62,1.77,0.87,25.78,40.26,2025-01-01 01:05:00,NORMAL
121,48,226.82,7.82,7.33,0.49,1.66,0.91,63.51,39.62,2025-01-01 01:10:00,NORMAL
152,12,231.52,12.93,12.47,0.46,2.89,0.89,63.95,35.07,2025-01-01 01:15:00,NORMAL
101,32,221.9,11.0,11.62,0.62,2.58,0.73,26.8,44.84,2025-01-01 01:20:00,NORMAL
187,25,235.83,9.02,8.61,0.41,2.03,0.97,62.37,69.55,2025-01-01 01:25:00,NORMAL
129,39,220.93,6.69,6.91,0.22,1.53,0.89,59.52,61.22,2025-01-01 01:30:00,NORMAL
137,18,230.26,12.45,11.25,1.2,2.59,0.92,49.8,66.8,2025-01-01 01:35:00,LEAKAGE_WARNING
101,15,227.72,12.53,12.33,0.2,2.81,0.8,49.84,31.87,2025-01-01 01:40:00,NORMAL
163,32,236.16,9.57,9.47,0.1,2.24,0.98,53.59,34.8,2025-01-01 01:45:00,NORMAL
